text,gt_policy_domain
and everyone who needs a helping hand will get one.,Welfare and Quality of Life
"We'll establish the Southern Strait of Georgia National Marine Conservation Area between the British Columbia mainland and Vancouver Island, in consultation with the Government of British Columbia.",Welfare and Quality of Life
There will be two streams of National Trade Cadetship available:,Economy
"Nevertheless, there is still work to be done.",Economy
"devolve more powers to Wales,",Political System
we create a strong Inspectorate to ensure the necessary quality control of the service delivery by the public and by private sector companies of government contracts;,Political System
"This principle focuses on the security of individuals, rather than states.",External Relations
"1,300 new sub-acute hospital beds",Welfare and Quality of Life
Stephen Harper has had nearly a decade to take action on climate change but has failed to do so.,Political System
"The government, Irish NGOs and the Irish public together have made a very important contribution in these areas.",External Relations
and improve the availability of childcare for children with disabilities.,Welfare and Quality of Life
The Office will be a one-stop shop to attract investment and product mandates to Canada,Economy
"Our position has been clear: We will never accept Russian President Vladimir Putin's unwarranted and illegal occupation and annexation of the Crimean Peninsula,",External Relations
Only a COPE government can achieve such a historic mission.,Political System
We will also work in partnership with the United States and Mexico,External Relations
And this hasn't gone unnoticed.,Welfare and Quality of Life
"strengthen government interventions to give even greater impetus to the Proudly South African campaign, to promote South African products locally and globally, and attract greater volumes of foreign investment into our economy; and",Economy
"To help achieve this, we will invest $8 million per year in community consultation and science.",Welfare and Quality of Life
"With Liberal Democrats in government, crime is down 10%.",Fabric of Society
"Since 2010, energy demand has fallen by 2.5% a year and renewable electricity generation has almost trebled.",Welfare and Quality of Life
Shutting down Tax-Free Savings Accounts which are helping 11 million Canadians save and grow their savings tax-free.,Political System
Britain must maintain an effective security capability.,External Relations
We will help to lift hundreds of thousands of seniors out of poverty by increasing the Guaranteed Income Supplement for single low-income seniors by ten percent.,Welfare and Quality of Life
"strengthen families, family life and communities;",Fabric of Society
"We will deliver more support to emerging clean tech manufacturing companies, making it easier for them to conduct research and bring new products to market.",Welfare and Quality of Life
We will double the bankers’ levy.,Welfare and Quality of Life
"establish an expert human rights panel to determine designated countries of origin,",Freedom and Democracy
"We will ensure that Access to Information applies to the Prime Minister's and Ministers' Offices, as well as administrative institutions that support Parliament and the courts.",Freedom and Democracy
"But these cruelties too often are carried out in the shadows, out of sight of the authorities.",Fabric of Society
The Green Party agrees that a rebalancing of the criminal justice system to favour the victims of crime is long overdue.,Social Groups
The EFF government will implement a minimum wage of R4500 across the board for all full-time workers.,Economy
A strong economy means strong families and strong communities.,Economy
"This is the basis for our recent enhancement to the monthly Universal Child Care Benefit, our historic infrastructure investment, and the new measures set out in our plan for the next four years.",Welfare and Quality of Life
"It needs enough homes, affordable for local families, to ensure those services are viable.",Welfare and Quality of Life
"Forced marriage deprives girls of their right to an education,",Social Groups
We cannot fail our children – especially when we know it is the children who need the most help who are the most likely to be let down.,Welfare and Quality of Life
A new Expert Advisory Body to advise Government on policy and implementation.,Welfare and Quality of Life
"Our NHS is the envy of the world, and we will fund it properly,",Welfare and Quality of Life
"We will encourage citizens to engage in practical social action, seeing government as an enabler and facilitator rather than just a commissioner and provider of services.",Freedom and Democracy
Introduce legislation which follows the Swedish model in making it illegal for a man to buy sex.,Fabric of Society
- Support the principle of common security.,External Relations
1) The EFF recognises that there can be no normal sports in an abnormal society.,Fabric of Society
We will ensure that all substantially government funded bodies or agencies include at least 40% membership of both men andwomen on their management board.,Welfare and Quality of Life
Devolving funding of Network Rail in relation to the Wales network.,Political System
A re-elected Conservative Government will carry out our plan to extend the Employment Insurance Compassionate Care Benefits period from six weeks to six months.,Welfare and Quality of Life
"4) The EFF Government will expand the railways, buy new trains, and investigate affordable speed trains alongside areas such as Moloto Road between Tshwane and Nkangala region in Mpumalanga, between Soweto and Johannesburg, between Durban and Johannesburg to transport people and many goods that come from the harbour.",Economy
"Patients should have more choice over their type of treatment, who delivers it and when.",Freedom and Democracy
We are clamping down on care workers being paid less than the National Minimum Wage by resourcing and directing HMRC to pursue and prosecute providers who exploit their staff.,Social Groups
"Continue to work with stakeholders such as the Canadian Steel Producers Association to ensure that the system is effective and accessible, and ultimately creates a level-playing field for Canadian businesses.",Economy
It's also a period of tremendous change for parents as they adjust their work and home lives to the new responsibilities of parenthood.,Social Groups
A re-elected Conservative Government will take action to improve Canada's transportation network,Economy
"Britain's towns and cities offer civic pride, accessible facilities and, potentially, a high quality of life.",Fabric of Society
We will implement the recommendations made in the Canadian Forces' Report on Transformation.,External Relations
We will also adopt a new government-wide appointment process that is open and based on merit.,Welfare and Quality of Life
"3) The EFF Government will pursue and ensure maximum compliance to affirmative action laws to prioritise the employment of people with disabilities, black women, black people and women of all races in order to end the white male domination in the economy.",Welfare and Quality of Life
This body will work with the Audit Commission to ensure that all spending is monitored and results in real improvements in patient care.,Welfare and Quality of Life
- Work to preserve fish stocks and protect the livelihoods of local fishing communities.,Social Groups
"Promoting arts, culture, and sport to bring vitality and economic development to our communities.",Welfare and Quality of Life
"Liberal Democrats are the party of reform whether that is in Westminster, Holyrood, the Senedd or in local Councils and the EU is no exception.",Political System
"A client-focused Canada Revenue Agency will:   proactively contact Canadians who are entitled to, but are not receiving, tax benefits;",Political System
"It is time for smart, strategic investments that will turn our economy around and get it growing again.",Economy
"The EFF appreciates that South Africa exists in a continental and global world order that have been bedevilled by many political, social and -economic challenges for centuries.",External Relations
4) The EFF Government will ensure that the primary responsibility and obligation of sports departments in all spheres of government is training and employment of various sporting coaches who will assist communities and schools in sports excellence.,Welfare and Quality of Life
"In a dangerous and unstable world, we need a government that recognizes risks to Canadian interests and our security and speaks with clarity.",External Relations
"We know that no two families are alike, but all families have this in common: Given the opportunity, they'll make the choices that are right for them.",Social Groups
"800 years after Magna Carta, the need for written, legal guarantees of our rights and liberties has not gone away.",Freedom and Democracy
"Ensure UK and EU development aid, free trade and investment agreements support environmental goals and sustainable investment,",External Relations
and will respect legal traditions and perspectives on environmental stewardship.,Political System
"The problem: Poverty, lack of training, low pay and discrimination deny too many people the opportunity to make the most of their lives.",Welfare and Quality of Life
The 7 cardinal pillars are a revolutionary programme which will transform the South African society and economy for the benefit of all.,Welfare and Quality of Life
and we are the first government in Canadian history to achieve an absolute reduction in greenhouse gas emissions through responsible sector-by-sector regulation.,Welfare and Quality of Life
"Our justice policy will focus on prevention, using restorative justice and rehabilitation through probation rather than only offer ineffective short-term sentences that have been proven not to prevent reoffending.",Welfare and Quality of Life
and any demand to read private encrypted communications must be targeted and proportionate.,Freedom and Democracy
"To achieve this objective, COPE will: enable people to directly elect their most senior representatives, namely, the President, Premiers and Mayors, to enhance accountability of all public office-bearers and improve public participation in all forms of governance;",Freedom and Democracy
We will also work with the superannuation industry to modernise and streamline the administration of the superannuation system,Social Groups
6) Transformation of the criminal justice system;,Fabric of Society
Plaid Cymru will provide tax relief for self-employed workers undertaking training,Economy
Make it easier to get around by: Making more stations wheelchair accessible and giving wheelchair users priority over children’s buggies when space is limited.,Welfare and Quality of Life
"community fellowship cottages for the elderly,",Welfare and Quality of Life
And we've co-funded marketing activities with industry to enhance Canada's agricultural presence in priority markets.,Social Groups
"But our first priority is the safety and security of Canadians and the communities where we live, work, and raise our children.",Fabric of Society
"Environment policy is currently buried, with housing and local government, in a huge single Government Department.",Political System
It does not prevent young people from using marijuana and too many Canadians end up with criminal records for possessing small amounts of the drug.,Fabric of Society
"To this end, our Conservative Government has taken significant action to promote the economic and social well-being of Canada's First Nations.",Social Groups
Target drug prevention programmes specifically to “at risk” groups.,Welfare and Quality of Life
"A re-elected Gillard Labor Government will drive a major reform agenda for Australia’s non-profit sector to deliver smarter regulation, reduce red tape and improve transparency and accountability of the sector",Fabric of Society
"Canada has become a global leader in clean energy,",Welfare and Quality of Life
Those who do not will be able to leave management to the local health authority.,Welfare and Quality of Life
Require that all future development is future-proofed for climate change and peak oil,Welfare and Quality of Life
We will ensure that women in prison are treated fairly.,Welfare and Quality of Life
flexible choices for teenagers and young people;,Welfare and Quality of Life
Next generation wireless services to 4 per cent of premises and satellite services to 3 per cent will deliver speeds of 12 megabits per second – with average data rates more than 20 times higher than most users of these technologies experience today,Economy
Research and innovation will drive that economy,Economy
"The Committee was set up in 2012; it provides advice to the government on the state of England’s natural assets including forests, rivers, land, minerals and oceans.",Welfare and Quality of Life
"We want to see an improved broadband connection, getting everybody online so that people can do business from home,",Economy
"The education and health sectors include schools, universities,",Welfare and Quality of Life
"Continue to support the Teach First programme to attract high calibre graduates into teaching, in particular in STEM subjects.",Welfare and Quality of Life
"staggering annual holidays,",Fabric of Society
"and a deal for the Menai Science Park in North Wales, showing how we value both academic and vocational education.",Economy
"When the new, modern firearms are issued, a re-elected Conservative Government will honour the Canadian Rangers and their long service by transferring ownership of the Lee- Enfields to the Rangers they have served for so many years.",External Relations
The Green Party would therefore not advance any new road schemes as part of the next Government and would instead channel funding to maintain and repair the existing network.,Economy
Improving IT in healthcare could help save lives.,Welfare and Quality of Life
"Continue to promote the local integration of health, care and educational support for children with Special Educational Needs and health problems.",Welfare and Quality of Life
shifting CAP payments to the active farmer rather than the landowner.,Social Groups
"We will meet with provinces, territories, and Indigenous communities to begin work on a new National Early Learning and Child Care Framework, to deliver affordable, high-quality, flexible, and fully inclusive child care for Canadian families.",Political System
"The existence of welfare traps, where individuals become worse off by taking a job can be mitigated through the introduction of refundable tax credits.",Welfare and Quality of Life
A cap on the number of Senators at 50 (a cut of 16%).,Freedom and Democracy
"Fixed term Parliaments, taking away a Prime Minister’s power to call elections when it suits their own party",Freedom and Democracy
"We will work to replace the CAP, which currently subsidises production, with Countryside Management Contracts - a targeted system of direct payments to support economic, social and environmental goals in rural communities.",Social Groups
- Encourage people to take more responsibility for their own health.,Fabric of Society
Early years education is the essential building block for higher standards and achievement later on.,Social Groups
but they have also led to our greater dependence on a digital infrastructure that underlies everything from our communications networks to our financial systems to our electrical grid.,Economy
It is the product of deep consultation with the people of South Africa.,Freedom and Democracy
"And we'll mandate the integrated teams of Royal Canadian Mounted Police officers in Montreal, Toronto, Winnipeg, Calgary, and Vancouver to investigate these cases.",Fabric of Society
- Build environmental objectives into every government policy.,Welfare and Quality of Life
Labour unions play an important role in protecting the rights of workers and growing the middle class.,Social Groups
and New Zealanders will have a majority shareholding in any oil strikes.,Economy
support the Welsh construction industry,Economy
"In short, we will deliver Home Rule to each of the nations of a strong, federal United Kingdom.",Freedom and Democracy
"We will give children and young people access to information about their legal rights and obligations, review the age of majority and ensure that young people are represented on bodies that especially concern them.",Social Groups
We will: Review the Homes and Communities Agency’s grant programmes to simplify and streamline the process and enable more innovation.,Economy
"Our aspirations for South Africa are aspirations for the African continent and the world and our international relations, co-operation and solidarity programme are founded on the principle that economic emancipation should be extended to all people across the globe.",External Relations
We have to finish the job of sorting out the UK’s public finances //–,Economy
Promote recognition of the problem of domestic violence experienced by female and male spouses and partners.,Social Groups
"requires that health risks be made clear in product labelling,",Economy
"In government, we supported a policy of subsidising Welsh students so that they wouldn’t be penalised by the changes at Westminster.",Fabric of Society
"Canadians work hard for their money and rightly expect, as consumers, to be treated fairly when it comes to matters of quality, safety and choice.",Economy
"We will look into establishing local power grids and a Wales-wide national energy grid to secure energy transmission in Wales, linking north and south entry points undersea.",Welfare and Quality of Life
Our opposition led to the Welsh Government abandoning plans to introduce these for primary schools and eventually scrapped banding for secondary schools.,Welfare and Quality of Life
recognising that caring duties fall predominantly upon women.,Welfare and Quality of Life
A collection of paper and card for recycling at least fortnightly.,Welfare and Quality of Life
This will mean that more secondary students will have the option to start a pathway towards recognised trade qualifications while still at school,Economy
"Our carefully costed plans would, for instance, pay for the equivalent of 10,000 more nurses or 5,000 more doctors.",Economy
"Tackle unnecessary teacher workload, including by: Avoiding policy changes while children are within a key stage.",Welfare and Quality of Life
"By purchasing more affordable alternatives to the F-35s, we will be able to invest in strengthening our Navy, while also meeting the commitments that were made as part of the National Shipbuilding and Procurement Strategy.",External Relations
"We will invest an additional $80 million, over four years, in the Canadian Food Inspection Agency for more food safety inspections of domestic and imported foods.",Social Groups
Stephen Harper ignores this diversity by appointing unilingual Anglophones to important positions ranging from the Auditor General to Supreme Court Justices.,Political System
But there is much more to do to reduce crime and free people from fear.,Fabric of Society
Opening new markets for Canadian businessesand workers.,Economy
"Instead of working with other countries constructively at the United Nations, the Harper Conservatives have turned their backs on the UN and other multilateral institutions, while also weakening Canada's military, our diplomatic service, and our development programs.",Political System
"In total, this enhanced deduction represents a $50 million annual tax savings for Northern Canadians.",Welfare and Quality of Life
and make the letter of the law match its spirit by limiting the use of technical defences in impaired driving cases and simplifying proof of blood alcohol concentration.,Fabric of Society
"Without accurate and reliable data, Canada's communities cannot plan ahead.",Political System
"These goals must be respected by international organisations,",External Relations
* Conservation of Natural Resources,Welfare and Quality of Life
"Our plan will lift 315,000 Canadian children out of poverty.",Welfare and Quality of Life
Set down a timeline for the full implementation of the Victim’s Charter.,Social Groups
Review the process of assessing threats against different ethnic and religious communities to ensure all groups in the UK are properly protected.,Fabric of Society
- Boost literacy.,Welfare and Quality of Life
we will reduce VAT to 5% on certified housing renovations.,Economy
Canada has one of the most accountable and transparent governments in the world.,Freedom and Democracy
and expanding the number of degree-equivalent Higher Apprenticeships.,Economy
Canadians know they can trust us to lower their taxes and keep them low.,Political System
and develop more European electricity interconnection capacity.,Welfare and Quality of Life
"Income earned and withdrawals from TFSAs don't affect eligibility for the Age Credit, Old Age Security, and the Guaranteed Income Supplement.",Welfare and Quality of Life
Introduce a clear and properly funded entitlement to professional development for all teachers.,Welfare and Quality of Life
The depth of the crisis that the country finds itself in at the moment requires reform at all levels of public life.,Freedom and Democracy
"Given the economic situation and the severe pressures on the public finances, full consideration must be given to making the best use of state assets.",Economy
The Commissioner will review proposed messages to ensure that they are non-partisan and represent a legitimate public service announcement.,Freedom and Democracy
This includes Canada's participation in NATO assurance measures in Central and Eastern Europe (Operation REASSURANCE) and the multinational training mission in Ukraine (Operation UNIFIER).,External Relations
This separation is important because all the currently developed nations pursued development through massive protected industrialisation and since the rise and global triumph of neo-liberalism; development is typically reduced to social welfare aspects.,Political System
They must be presented so that they are relevant and available to all.,Welfare and Quality of Life
to transfer these foreign criminals back to their home countries;,Fabric of Society
"We will make it easier for Canadians to access information by eliminating all fees, except for the initial $5 filing fee.",Freedom and Democracy
"Billions invested in growing modern British businesses with our Industrial Strategy, Business Bank and Regional Growth Fund",Economy
"From July 1 this year, the Gillard Labor Government began delivering $7.3 billion in investments over the next five years to provide: ",Welfare and Quality of Life
"We will increase the availability of special care facilities for the elderly who have no families to look after them, women and children in abusive relationships and environments respectively and homeless children living on our streets, ensuring that the children attend school.",Welfare and Quality of Life
"And we've provided substantial funding for the National Action Plan to Combat Human Trafficking, which co-ordinates and supports efforts to bring traffickers to justice and to provide comfort and assistance to their victims.",Fabric of Society
"We are inspired by the vision shared by all our people, black and white, of the sense of history as we get a new opportunity to build anew a people-centred, caring and inclusive and common South African nation.",Freedom and Democracy
"Our Government has seen the lobster fishery through good times and bad, including investing significant funds through the Community Adjustment Fund-Lobster Initiative and the Short- Term Transitional Measures Program to help the industry through the global recession.",Social Groups
NBN Co will invest up to $43 billion over eight years to fund the rollout and ongoing operations of the network,Economy
Manufacturing wages are up nearly 20 percent since we've come to office.,Economy
"We will continue to promote apprenticeships, particularly Higher Level Apprenticeships, as agreed in our 2012 Welsh Budget deal, and in-work learning courses.",Economy
"Students in England do not have to pay anything until they are earning over £21,000 per year – a figure which will increase in line with earnings – and over that income, monthly repayments are linked to earnings.",Welfare and Quality of Life
Invest in major transport improvements and infrastructure.,Economy
"Plaid Cymru rejects the marketisation and privatisation of the NHS and will oppose any moves in that direction from governments in Westminster and Wales, particularly if it affects the funding of the NHS in Wales.",Economy
"Establish an Eco Tourism unit within Fáilte Ireland to coordinate, certify and promote the Green Star initiative.",Economy
"We will establish an independent committee that will monitor the drive for greater diversity in public appointments and verify the independence of the appointment process to public bodies, boards and institutions.",Welfare and Quality of Life
and every pupil should be given advice and guidance about their future.,Welfare and Quality of Life
We will introduce a Victims’ Rights Bill and train all professionals in the criminal justice system so victims of crime cannot be ignored or forgotten.,Welfare and Quality of Life
Many do not have a decent home.,Fabric of Society
promote the use of natural medicines and indigenous knowledge systems and increase the recognition of traditional healers.,Welfare and Quality of Life
"1) The EFF Government’s approach to nationalisation is that it should result in democratic and socialised ownership and control of the means of production by the workers, to avoid a situation where the state will exclusively own the means of production and suppress workers’ interests and aspirations.",Economy
We'll also extend the Nutrition North Program to 40 additional communities.,Welfare and Quality of Life
"provide adequate facilities for training,",Welfare and Quality of Life
- Raise standards of care in all areas.,Welfare and Quality of Life
We will also make our student loan system more flexible.,Welfare and Quality of Life
Never before has a government made victims' concerns such a priority.,Fabric of Society
Plaid Cymru MPs voted against the reduction in the additional rate of income tax from 50p to 45p in the 2012 Budget debate,Welfare and Quality of Life
One of the challenges of living in Canada's north is the high cost of healthy food.,Welfare and Quality of Life
Tax-Free Savings Accounts (TFSAs) have become the single most important personal savings vehicle in decades.,Social Groups
"and employs the largest number, proportionally, of Aboriginal Canadians of any industry.",Social Groups
"Within this context, EFF appreciates that there various political, social and economic challenges that confront the world today and as a progressive internationalist movement that is anti-capitalist and anti-imperialist, we carry the obligation to work with progressive forces of change in the world, which are based on principles of solidarity and equal distribution of the world wealth.",Welfare and Quality of Life
- Care for carers.,Welfare and Quality of Life
We will stop Stephen Harper's plan to end door-to-door mail delivery in Canada,Economy
Our Conservative Government has a positive plan to sustain our manufacturing sector.,Economy
All integration services for refugees and other migrants in Wales,Fabric of Society
"including environmental performance,",Welfare and Quality of Life
"Our NHS is the envy of the world, and we will fund it properly,",Welfare and Quality of Life
and offer international deterrence and combat capability.,External Relations
Replicate the civil service accelerated programme for underrepresented groups across the public sector.,Welfare and Quality of Life
"and improve training and coaching facilities, including those at schools.",Welfare and Quality of Life
Nuclear stations will not be replaced at the end of their design life.,Welfare and Quality of Life
"We want to build the status of the teaching profession, support and nurture teachers in their work, and so drive up standards in every school.",Welfare and Quality of Life
The draft constitution would then be put to referendum.,Freedom and Democracy
"We believe every child deserves a great start in life, and are determined to make sure that the education system finds and nurtures the best in everyone.",Welfare and Quality of Life
"There remains, however, room for improvement.",Economy
More and more people –  including families –  are renting in the private sector for the long term.,Economy
"Oblige all TDs and Senators to produce an annual report setting out, amongst other items, how often they spoke in the Dáil, attended votes, engaged in committee work.",Political System
"We will: Commit to an ambitious goal of 20 hours’ free childcare a week for all parents with children aged from two to four-years,",Welfare and Quality of Life
and eliminating Tax- Free Savings Accounts in whole or in part.,Political System
"We support on-site dry storage of nuclear waste, pending the long-term development of safe alternatives.",Welfare and Quality of Life
"public health education,",Welfare and Quality of Life
"Child care needs vary from family to family, and provinces and territories have responded to these needs in different ways.",Political System
"Climate change, one of the greatest challenges of our age, is by its nature global.",External Relations
"From 1 July 2011, businesses that invest in eligible assets or capital works to improve the energy efficiency of their existing buildings – from 2 stars or lower to 4 stars or higher – will be able to apply for a one-off bonus tax deduction",Welfare and Quality of Life
"We will push for the UK’s 2017 European Union Presidency to work in the best interests of Wales,",Fabric of Society
Canada has one of the highest naturalization rates in the world: more than 85 percent of permanent residents eligible for Canadian citizenship become Canadians.,Fabric of Society
"Legislate to make the Advisory Council on the Misuse of Drugs independent in setting the classification of drugs, while remaining accountable to Parliament and the wider public.",Political System
The English curriculum has an emphasis on the basics,Welfare and Quality of Life
We will keep free bus passes.,Welfare and Quality of Life
"respect for the dignity of women, protect the innocence of children, encourage and positive influence on, and direct the energy of, the youth, give due recognition to the needs of people with disabilities;",Social Groups
Partnering to secure vital cyber systems outside the federal government,Fabric of Society
It is available for eligible working parents of children born or adopted on or after 1 January 2011,Social Groups
"Our commitment: Liberal Democrats will lock in economic stability, encourage saving and promote enterprise.",Economy
as well as provide high-quality care when they are ill.,Welfare and Quality of Life
"Our plans for insulating homes are set out in more detail in Section 7.5, below.",Welfare and Quality of Life
- Support children with special needs.,Welfare and Quality of Life
"$4,000 worth of training to support mature age workers in the workplace",Social Groups
to restore degraded ecosystems and protect species at risk;,Welfare and Quality of Life
and that teachers will be skilled educators who know how to inspire a love of learning.,Welfare and Quality of Life
"Support, including through rules on public funding and research, moves towards ensuring all clinical trials are registered, with their methods and summary results reported in public.",Welfare and Quality of Life
We will enact the remaining unimplemented clauses of the Equality Act 2010.,Welfare and Quality of Life
But there is more we can do to help our Aboriginal communities thrive and flourish.,Social Groups
We will insist on clear labelling for food products which include genetically modified ingredients.,Economy
We will ban the importation of products derived from threatened wild animals.,Economy
We will: Review the criminal Legal Aid market and ensure there are no further savings without an impact assessment as to the viability of competitive and diverse market of Legal Aid providers.,Political System
Integration of Carbon Budgeting into the Annual Budgetary Process.,Welfare and Quality of Life
"It is crucial because it marks exactly 20 years since the first democratic election, which ended centuries of colonial rule and apartheid subjugation of the black majority.",Freedom and Democracy
People will be more free.,Freedom and Democracy
The Canada Health Transfer is projected to grow from $32.1 billion in 2014–15 to $40.9 billion in 2019–20.,Welfare and Quality of Life
most recently restated in the Readiness Action Plan and Defence Industrial Pledge at the Wales NATO Summit in 2014.,External Relations
Improvements in emissions intensity undertaken by individual businesses from these historical baselines will not reduce the permit allocations these businesses will receive under a future market to limit pollution,Economy
and the Commonwealth,External Relations
"Ringfence a proportion of revenue received from alcohol sales and direct these funds into linked policy areas, both in the area of drugs and alcohol.",Welfare and Quality of Life
We will ensure that strategies are in place to promote Welsh language education and ensure employment of bilingual people so that these services can be provided across Wales.,Fabric of Society
A new legislative framework to strengthen the sector will emerge from this process.,Freedom and Democracy
Extend the rules governing storage of DNA and fingerprints by public authorities to include all biometric data – like facial images.,Freedom and Democracy
"We will ensure that the Employment Insurance system is providing real income security to workers, including those with precarious work.",Welfare and Quality of Life
It's for these reasons that our Conservative Government has been so committed to balancing the budget.,Economy
"Work to secure a binding global agreement on cutting emissions,",External Relations
A state owned Bank.,Economy
"Make it a requirement for all retail outlets to label animal derived material such as fur and/or leather, regardless of the percentage of fur and/or leather in the items.",Welfare and Quality of Life
"We are investing over $4.2 billion in 2010-2011 under the Attorney-General’s Portfolio, towards national security, border and aviation security, counter terrorism, law enforcement and emergency management",Fabric of Society
help with caring responsibilities,Welfare and Quality of Life
"We will address potential capacity constraints in resource regions by building new and better roads, rail and ports, funded out of a $6 billion regional infrastructure fund",Economy
and the building of new track to provincial centres as top priorities.,Economy
"Under the current system, Plaid Cymru will improve the resources available to the Devolved Countries Unit so that it can properly deal with issues relating to funding for Wales.",Political System
We will protect our communities from the challenges of climate change,Welfare and Quality of Life
- Widen Europe to include the new democracies of central and eastern Europe.,External Relations
"We will: Ensure that all universities work to widen participation across the sector, prioritising early intervention in schools and colleges.",Welfare and Quality of Life
"We will legislate to reform regulation of the higher education sector, improving student protection.",Welfare and Quality of Life
"We will: Deliver the Transport for the North strategy to promote growth, innovation and prosperity across northern England.",Economy
"The relationship between Canada and Indigenous Peoples is vitally important – not just to our shared economic interests, but to our respective identities as nations.",Fabric of Society
Mental illness is a challenge that touches the lives of millions of Canadians.,Welfare and Quality of Life
"In response, a re-elected Conservative Government will establish an “equivalent-to-spouse” Pension Income Credit for single and widowed seniors.",Social Groups
and those who currently find it difficult to get a job.,Social Groups
We will extend the Bwcabus scheme currently running in South Ceredigion and North Carmarthenshire into other rural areas to connect communities across Wales where traditional bus services are not viable.,Economy
"A fairer economy: increase the minimum wage to a living wage for more than 250,000 workers",Economy
We will establish a reasonable minimum tenancy length.,Welfare and Quality of Life
We will consider the gender impacts of the decisions we make.,Welfare and Quality of Life
"and to keep illegal guns, gangs, and drugs out of our communities – and it's no wonder that the crime rate is going down.",Fabric of Society
Improve control of arms exports by: Implementing a policy of ‘presumption of denial’ for arms exports to countries listed as countries of concern in the Foreign Office’s annual human rights report.,External Relations
"Provide further support to medium-sized businesses through a one-stop-shop for accessing government support,",Economy
"- Reform the Common Agricultural Policy, converting it into a system of direct payments to support economic, social and environmental goals in rural communities.",External Relations
Stephen Harper's failure to meet our international commitments to protect marine and coastal areas puts these areas and our international reputation at risk.,Political System
"Fully implement recent reforms of the Common Fisheries Policy, working with industry and others to develop a national plan for sustainable UK fisheries,",Social Groups
and we'll make sure our children and grandchildren aren't forced to pay the price for reckless borrowing and spending.,Economy
"Near the end of the fiscal year, we will automatically transfer any uncommitted federal infrastructure funds to municipalities, through a temporary top-up of the Gas Tax Fund.",Economy
"Plaid Cymru will adopt a preventative approach to tackling homelessness, prioritising early intervention.",Welfare and Quality of Life
"We will promote the development of off-site manufacturing techniques, which have been shown to improve energy performance of buildings.",Welfare and Quality of Life
Sport makes us strive for excellence.,Welfare and Quality of Life
We will extend charitable status to all schools without affecting total Council funding and maintain the VAT exemption on school fees.,Economy
"with fairer rules to help everyone juggle family life, caring responsibilities and the world of work.",Welfare and Quality of Life
You have to choose.,Freedom and Democracy
We will: Establish an independent Educational Standards Authority (ESA) entirely removed from Ministerial interference.,Welfare and Quality of Life
"Plaid Cymru believes that, in principle, higher education should be free for all, and we will continue to work towards this aim.",Welfare and Quality of Life
"1) As a broad and cogent principle, the EFF Government’s approach to public representatives (those occupying political office through elections) is that because they are there on the mandate of the people to serve, the many perks associated with political office should be limited.",Freedom and Democracy
There is a lack of appropriate prison facilities for women prisoners in Wales,Welfare and Quality of Life
"There is a crisis in the NHS, especially in hospitals.",Welfare and Quality of Life
"- Modernise Britain's welfare state for the twenty-first century, building a new cross-party partnership for reform.",Welfare and Quality of Life
"Plaid Cymru will increase the number of ambulances available for rural areas, support air ambulances and ensure availability of paramedics.",Welfare and Quality of Life
Now is the time to make real the promises of democracy.,Freedom and Democracy
"We will therefore: Develop a foreign policy firmly founded on the human and constitutional rights provisions of our Constitution, and advancing the national interests of South Africa and the development of Africa;",External Relations
"Ensuring Ofsted inspections are high-quality, fair to all schools and focus on outcomes and not processes.",Welfare and Quality of Life
We will renew the relationship between Canada and Indigenous Peoples.,Fabric of Society
"As families change and adapt, so too should government.",Welfare and Quality of Life
"Because many seniors live on fixed incomes, we will introduce a new Seniors Price Index to make sure that Old Age Security and the Guaranteed Income Supplement benefits keep up with seniors' actual rising costs.",Welfare and Quality of Life
The most efficient farmer is the owner-occupier.,Social Groups
This will allow local communities and local representatives to have an important role in deciding local priorities for health and healthcare.,Political System
  This is one element of Labor’s Education Revolution which is transforming Australia’s education system to meet the demands of the future,Welfare and Quality of Life
Veterans and their families have earned our respect and gratitude.,Social Groups
"We will provide open access to the media by multi-cultural groups,",Fabric of Society
without allowing emissions from aviation to undermine our goal of a zero-carbon Britain by 2050.,Economy
and that government supports communities to help prevent those at risk of radicalisation from being drawn into illegal activity.,Fabric of Society
"Supervisory boards of major companies who employ more than 500 staff will include elected employees, to ensure scrutiny of the management in the interests of the company as a whole, building on established practices in industrially successful countries such as Germany.",Economy
Territorial limits will be extended to 50 miles.,Social Groups
Canada is now often cited as one of the best countries in the world in which to do business.,Economy
But that simple ambition is getting further and further out of reach.,Welfare and Quality of Life
A collection of glass containers at least fortnightly.,Welfare and Quality of Life
"Indeed, farmers, landowners, hunters and anglers were Canada's first conservationists, and remain its most passionate.",Fabric of Society
"We will get our communities moving again, by giving our provinces, territories, and municipalities the long-term, predictable federal funding they need to make transit plans a reality.",Economy
"We will introduce a statutory right to parental leave and develop Maternity Benefit into a new, flexible parental benefit to be shared between partners.",Welfare and Quality of Life
"For all those years, the Rangers have been issued No. 4 Lee-Enfield rifles.",External Relations
"And we've committed to ambitious greenhouse gas emission reductions by 2030, in advance of the upcoming United Nations Climate Change Conference in Paris later this year.",Welfare and Quality of Life
We ask you to do so.,Freedom and Democracy
"Pursuit of social welfare cannot and should not be separated from industrial economic development, and that is what distinguishes EFF from all the Political formations in South Africa.",Political System
We will make protection of the natural environment a major feature of the planning system through a new Wildlife Act.,Welfare and Quality of Life
This is an important part of our principled foreign policy.,External Relations
"We will give them the tools to do what is best in all parts of Wales,",Fabric of Society
