source_id,source_event_text,text,gt_event_type
PLOVER-GSR01-DISAPPROVE-0010,jailed allegations treason,Nigerian authorities jailed 52 members of the banned Movement for the Actualization of the Sovereign State of Biafra (MASSOB) on allegations of treason for playing in a youth football tournament in Lagos.,DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0011,called unite against,"An official Syrian newspaper called Thursday on Arabs to unite and ``mobilize'' against Israeli right-winger Ariel Sharon, who has vowed not to return the Golan Heights to Syria if he is elected prime minister February 4.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0012,called for sanctions against,Archbishop Desmond Tutu on Sunday called for sanctions against Nigeria in the wake of the execution of Ken Saro-Wiwa.,DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0013,lodged official protest,"Serbia lodged an official protest with Albania today, charging its neighbor with supporting dissidents here in what is said was tantamount to inciting revolution.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0014,complained to the United Nations,Lebanon complained to the United Nations on Tuesday over two Israeli air raids last Friday in which it said 20 people were killed or wounded.,DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0015,is suing,"A Saudi businessman is suing the United States for damages to his pharmaceutical plant which were caused by a missile attack in August, his American lawyer said.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0016,protested,"Croatian authorities are failing to uphold the property rights of Croatian Serb refugees, a human rights group protested here Wednesday.",DISAPPROVE
PLOVER-GSR01-REJECT-0001,reject proposed changes,"The Palestinians reject proposed Israeli changes to the Wye River land-for-security deal, chief Palestinian negotiator Saeb Erakat said.",REJECT
PLOVER-GSR01-REJECT-0002,rejected request interrogate,"Yemen has rejected a U.S. request to interrogate detainees held after the escape of 23 al-Qaida prisoners, a security official said Tuesday.",REJECT
PLOVER-GSR01-REJECT-0003,rejected proposal Free Trade,"Bangladesh has once again outright rejected an Indian proposal for signing Free Trade Agreement (FTA) with her, urging the counterpart to sign the proposed South Asia Free Trade Agreement (SAFTA) instead.",REJECT
PLOVER-GSR01-REJECT-0004,rejected demand sever military alliance,"South Korea has rejected North Korea's consistent demand to sever a decades-long military alliance with Washington, which keeps troops here under a mutual defense pact.",REJECT
PLOVER-GSR01-REJECT-0005,rejected handover guard,Serbia on Thursday flatly rejected an Australian ultimatum to handover a guard involved in a shooting in front of the Yugoslav consulate in Sydney.,REJECT
PLOVER-GSR01-REJECT-0006,imposed information blackout,"The UN on Tuesday imposed a de facto information blackout on the withdrawal, collection and monitoring of heavy weapons around Sarajevo.",REJECT
PLOVER-GSR01-REJECT-0007,rejected calls economic aid,"Berlin rejected recent calls by Belarus's rulers for immediate economic aid, saying it was withholding it until a democratically-elected government takes over.",REJECT
PLOVER-GSR01-REJECT-0008,refused assistance war,"The Turkish government has refused to commit to any direct assistance to the US-led war against Iraq, citing domestic opposition.",REJECT
PLOVER-GSR01-REJECT-0009,says will not accept refugees,Syria says it will not accept any more refugees if war starts in Iraq.,REJECT
PLOVER-GSR01-REJECT-0010,rejected peacekeeping forces to be deployed,The United Nations on Tuesday rejected a call for its peacekeeping forces to be deployed in East Timor.,REJECT
PLOVER-GSR01-REJECT-0011,refused deploy peacekeepers,"Pakistan, a key U.S. ally in the war against terrorism, has refused to deploy peacekeepers in Iraq and has urged its citizens to avoid coming here.",REJECT
PLOVER-GSR01-REJECT-0012,rejected calls adopt reforms,"The US on Thursday rejected calls by Kofi Annan, UN secretary-general, to adopt far-reaching United Nations reforms as a comprehensive package.",REJECT
PLOVER-GSR01-REJECT-0013,declined to resign,Vice-President Moody Awori has declined to resign despite growing pressure by the Kenya Anti-Corruption Commision after he was implicated in a major scandal.,REJECT
PLOVER-GSR01-REJECT-0014,denied land allocation,"Ankara's Cankaya district administration has denied land allocation for the construction of an Alewite temple, Cemevi, in the district.",REJECT
PLOVER-GSR01-REJECT-0015,reneged commitment new constitution,"In what has been described as a policy u-turn, President Levy Mwanawasa has reneged on his commitment to the Zambian people for holding elections under a new constitution.",REJECT
PLOVER-GSR01-REJECT-0016,refusing lift curfew,"Despite warnings of starvation by humanitarian agencies, the Israeli government is refusing to lift the curfew on Palestinians living in the West Bank and Gaza.",REJECT
PLOVER-GSR01-REJECT-0017,failed reach agreement,"Palestinians and Israelis failed to reach agreement on the fate of Palestinian offices in east Jerusalem Sunday, despite hours of tense negotiations, sources on both sides reported.",REJECT
PLOVER-GSR01-REJECT-0018,said not meet demands release,"The U.S. said it would not meet hostage-takers demands to release prisoners in Iraq, including a number of females.",REJECT
PLOVER-GSR01-REJECT-0019,said removing sanctions out of the question,US authorities said yesterday that removing the sanctions on Burma is currently out of the question as that would reward the regime for doing nothing.,REJECT
PLOVER-GSR01-REJECT-0020,refused allow evacuate,"The UNITA militarist wing refused to allow United Nations planes to land and evacuate 15 of its observers who were taken hostage, the United Nations Observer Mission in Angola (MONUA) said.",REJECT
PLOVER-GSR01-REJECT-0021,rejected appeal deploying troops,Beirut again rejected Thursday a United Nations appeal for deploying army troops along its borders with Israel.,REJECT
PLOVER-GSR01-REJECT-0022,rejected proposal cease-fire,Iran's religious leader Ayatollah Ruhollah Khomeini today rejected Iraqi President Saddam Hussein's proposal for a cease-fire during the Moslem holy month of Ramadan.,REJECT
PLOVER-GSR01-REJECT-0023,dismissed appeal lay down arms,"Rebels in the Ivory Coast on Wednesday dismissed an appeal from President Laurent Gbago to lay down their arms, saying they had lost all trust in the government they rose up against on September 19.",REJECT
PLOVER-GSR01-REJECT-0024,refused to meet,"Israeli President Moshe Katsav has refused to meet Jordan's visiting King Abdullah II in Tel Aviv, saying he would only welcome him in Jerusalem, his office said Tuesday.",REJECT
PLOVER-GSR01-REJECT-0025,rejected meeting,"The radical Palestinian Islamic Jihad movement rejected an invitation to attend a meeting next week of Palestinian factions to debate plans for independence from Israel, the group said Wednesday.",REJECT
PLOVER-GSR01-REJECT-0026,rejected offer talks,Pakistan President Mohammad Zia-Ul-Haq today rejected a fresh offer from Afganistan for direct talks between the two neighbors.,REJECT
PLOVER-GSR01-REJECT-0027,rejected offer host summit,Palestinian leader Yasser Arafat Wednesday rejected a US offer to host a summit in mid-July to hammer out a framework agreement for peace between the Israelis and the Palestinians.,REJECT
PLOVER-GSR01-REJECT-0028,opposed mediation,"Israel is opposed to French mediation in peace negotiations with Syria, a close aide to Prime Minister Ehud Barak said Wednesday.",REJECT
PLOVER-GSR01-REJECT-0029,rejected peace plan,"Ivory Coast rebels on Friday again rejected a Senegalese peace plan, and said they also opposed the deployment of a regional peacekeeping force until their political demands are met.",REJECT
PLOVER-GSR01-REJECT-0030,refused demand peace deals,Newly appointed Palestinian Prime Minister Ismail Haniyeh has refused to respond to a demand from the US President to adhere to interim peace deals reached with Israel.,REJECT
PLOVER-GSR01-REJECT-0032,violated ban,A newspaper based in Christian east Beirut has violated a ban by General Michel Aoun and described his rival Elias Hrawi as president.,REJECT
PLOVER-GSR01-REJECT-0033,vetoed,The United States on Wednesday vetoed a Security Council resolution censuring as a violation of international law its military sweep of the Nicaraguan ambassador's home in Panama on December 29.,REJECT
PLOVER-GSR01-THREATEN-0001,threatened,President Bush has threatened further action against Russia in an international television program beamed by satellite to more than 50 countries.,THREATEN
PLOVER-GSR01-THREATEN-0002,threatened cut off electricity,"Iran on Tuesday threatened to cut off electricity to the autonomous Azerbaijani republic of Nakhichevan over non-payment of bills, the official IRNA news agency reported.",THREATEN
PLOVER-GSR01-THREATEN-0003,announced will withdraw peacekeeping,Nigeria today announced that it will withdraw their peacekeeping force from Chad unless President Goukouni Oueddei arranged a ceasefire with rebels fighting to topple his government and held elections within four months.,THREATEN
PLOVER-GSR01-THREATEN-0004,threatened import restrictions,A French minister threatened today to impose import restrictions against German goods today as the leaders of the two countries sought to ease tensions in Franco-German relations.,THREATEN
PLOVER-GSR01-THREATEN-0005,threatened ... break relations,The Azerbaijani parliament threatened on Monday to break relations with Russia unless the Kremlin closed its radar base in the republic.,THREATEN
PLOVER-GSR01-THREATEN-0006,threatened break relations,Pakistan today threatened to break off diplomatic relations with Congo and Costa Rica over their ties with Israel on the eve of a visit here by Palestine Liberation Organization (PLO) Chairman Yasser Arafat.,THREATEN
PLOVER-GSR01-THREATEN-0007,said would boycott all contact,Palestinian leaders said they would boycott all official contact with the United States.,THREATEN
PLOVER-GSR01-THREATEN-0008,plans impose restrictions labour,"Greece, like most other existing members, plans to impose restrictions on its labour market for new EU members for at least two years from 1 May.",THREATEN
PLOVER-GSR01-THREATEN-0009,threatened ban voting,"Israel threatened to ban voting in East Jerusalem if Hamas, which advocates Israel's destruction, ran in the election.",THREATEN
PLOVER-GSR01-THREATEN-0010,met decided not allow candidates from,Israel's Cabinet met Sunday and decided to approve a plan that will not allow candidates from the militant group Hamas on the ballots there.,THREATEN
PLOVER-GSR01-THREATEN-0011,threatened to ban,President Yoweri Museveni has threatened to ban Ugandan opposition candidates from participating in the upcoming elections.,THREATEN
PLOVER-GSR01-THREATEN-0012,announced will extend curfew,President Laurent Gbagbo announced on Sunday that he will extend the night-time curfew in Abidjan in response to recent unrest within the city.,THREATEN
PLOVER-GSR01-THREATEN-0013,threatened institute curfew,President Abdelaziz Bouteflicka threatened to institute a curfew in Algiers in response to recent unrest within the city.,THREATEN
PLOVER-GSR01-THREATEN-0014,announced prepared impose martial law,Iraq's interim government announced that it is prepared to impose martial law as street battles raged in central Baghdad between insurgents and security forces.,THREATEN
PLOVER-GSR01-THREATEN-0015,would blockade,Radical French farmers said on Friday they would blockade Paris from Monday night to demand an end to the European Community's drastic farm reform.,THREATEN
PLOVER-GSR01-THREATEN-0016,threatened general strike,Druze inhabitants of the Syrian Golan Heights threatened today to hold a general strike unless Israel rescinded its annexation of the region within 10 days.,THREATEN
PLOVER-GSR01-THREATEN-0017,threatened stop negotiations,"Russia has threatened to stop negotiations to reduce long-range nuclear weapons if the United States goes ahead with the planned deployment of new medium-range nuclear missiles in Europe, the Washington Post reported today.",THREATEN
PLOVER-GSR01-THREATEN-0018,may halt mediation if,"The European Community may halt mediation efforts among Serbia's feuding republics if cooperation by all parties founders, Dutch Foreign Minister Hans Van den Broek said on Tuesday.",THREATEN
PLOVER-GSR01-THREATEN-0019,announced will withdraw inspectors humanitarian,U.N. Secretary-General Kofi Annan announced on Monday that he will withdraw weapons inspectors and humanitarian workers from Iraq.,THREATEN
PLOVER-GSR01-THREATEN-0020,warned will no longer tolerate rallies,Cairo's security chief has warned that police will no longer tolerate rallies by the Kifaya (``Enough'') group.,THREATEN
PLOVER-GSR01-THREATEN-0021,threatened blows,"Osama bin Laden's al-Qaeda terror network has threatened to deliver devastating blows to the United States and Israel, a Saudi-owned weekly reports.",THREATEN
PLOVER-GSR01-THREATEN-0022,confirmed would naval blockade,NATO confirmed on Wednesday it would tighten the naval blockade of Serbia in the Adriatic with Albania's help.,THREATEN
PLOVER-GSR01-THREATEN-0023,have sworn to gain control,"Ethnic Albanians have sworn to fight until they gain control of villages near Macedonia's border with Bulgaria, Macedonian officials said Wednesday.",THREATEN
PLOVER-GSR01-THREATEN-0024,threatened terrorist activities,The Hamas threatened Monday to resume terrorist activities in Israel in an escalation of the intifada (uprising).,THREATEN
PLOVER-GSR01-THREATEN-0025,threatened military offensive,Iran today threatened to launch a new military offensive in its Gulf war with Iraq unless Baghdad accepted its conditions for ending the 28-month-old conflict.,THREATEN
PLOVER-GSR01-THREATEN-0026,threatened shell,"Iran threatened to shell Iraqi towns today in retaliation for an air raid on the southern city of Susangerd where, it said, 100 people were killed.",THREATEN
PLOVER-GSR01-THREATEN-0027,claims chemical biological weapons against,"A terror group based in Trinidad claims to be manufacturing chemical and biological weapons to use against the United States and Britain, according to a media report Sunday.",THREATEN
PLOVER-GSR01-THREATEN-0028,issued ultimatum,Peru has issued an ultimatum to Ecuador to halt attacks across their disputed jungle border.,THREATEN
PLOVER-GSR01-THREATEN-0029,said will boycott unless step down,The fundamentalist Umma (Nation) party has said it will boycott Algeria's first multi-party elections unless the president agrees to step down.,THREATEN
PLOVER-GSR01-PROTEST-0001,began collecting signatures amend constitution,The Homeland Union (Conservatives) began collecting signatures in part of a drive to convince the Lithuanian Parliament to amend the constitution so that same-sex marriages are banned.,PROTEST
PLOVER-GSR01-PROTEST-0002,demonstrated,"Up to 100 ethnic Albanians demonstrated on Tuesday in Serbia, where 24 people were killed in nationalist riots last March, Belgrade radio said.",PROTEST
PLOVER-GSR01-PROTEST-0003,staged rallies against,"Angry activists from the defeated Fatah Party have staged rallies in the Gaza Strip against the party's leader Mahmoud Abbas, saying he must resign.",PROTEST
PLOVER-GSR01-PROTEST-0004,staged demonstrations demand political reforms,Tens of thousands of university students throughout Indonesia staged mass demonstrations Saturday to demand political reforms by President Suharto's government.,PROTEST
PLOVER-GSR01-PROTEST-0005,were converging rally protest rights violations,Thousands of Nigerians from throughout the country were converging Thursday for a rally in Lagos to protest the rights violations under the recently imposed Sharia law by Islamic fundamentalists in the northern districts.,PROTEST
PLOVER-GSR01-PROTEST-0006,demonstrated calling for independence,"Thousands of Iraqi Kurds demonstrated in the northern city of Kirkuk on Sunday calling for independence from Iraq, witnesses said.",PROTEST
PLOVER-GSR01-PROTEST-0007,began hunger strike,"Up to 1,000 ethnic Turks began a hunger strike on Monday to protest against Sweden's decision to send them back to Bulgaria, where they say they face imprisonment, homelessness and persecution.",PROTEST
PLOVER-GSR01-PROTEST-0008,continued hunger strike demand resignation,Islamic fundamentalists continued their hunger strike to demand the resignation of Algerian President Ahmed Ben Bella.,PROTEST
PLOVER-GSR01-PROTEST-0009,started hunger strike protest failure reforms,"A member of the Syrian parliament, Mohammed Mamoun, started a hunger strike yesterday to protest President Assad's failure to usher in meaningful political reforms.",PROTEST
PLOVER-GSR01-PROTEST-0010,began hunger strike demand return of property,"Algerian landowners began a hunger strike outside Parliament to demand the return of property seized by Algerian government forces in the 1970s, APS news agency said.",PROTEST
PLOVER-GSR01-PROTEST-0011,staged hunger strike protest human rights violations,"Salaheddine Sidhoum, Algeria's leading human rights activist, staged a 24-hour hunger strike in prison on Sunday in protest against the widespread human rights violations by Algerian security forces, his lawyer said on Tuesday.",PROTEST
PLOVER-GSR01-PROTEST-0012,continuing hunger strike accept independence,A group of Chenchen refugees are continuing a hunger strike in protest of the Russian government's refusal to accept the independence of Chechnya.,PROTEST
PLOVER-GSR01-PROTEST-0013,shunned work to protest,Palestinians of the Israeli-occupied West Bank shunned work on Monday to protest at settlement of Russian Jewish immigrants on Arab land.,PROTEST
PLOVER-GSR01-PROTEST-0015,stopped work strike employment bill,"Some 500,000 workers affiliated with the Serbian Workers' Union (SSS) stopped work on the first day of an open-ended strike on Monday over a controversial employment bill signed in by Serbian Labour Minister Dragan Milovanovic.",PROTEST
PLOVER-GSR01-PROTEST-0016,organized strike protest arrest,Seven opposition parties in Nepal have organized a general strike that shut down Khatmandu in protest of last week's arrest of a number of activists.,PROTEST
PLOVER-GSR01-PROTEST-0017,blocked roadway,"Angry French paper workers blocked the Europe Bridge spanning the Rhine from France to Germany for more than three hours by dumping sawdust on the roadway, French border police said.",PROTEST
PLOVER-GSR01-PROTEST-0018,blocked roads demanding reinstated as leader,About 200 supporters of former President Ahmed Ben Bella blocked roads in the capital city of Algiers demanding that he be reinstated as leader of the Algerian government.,PROTEST
PLOVER-GSR01-PROTEST-0019,blocked transport to overthrow government,Rebels in the Ivory Coast on Tuesday blocked transport into Abidjan as they continued their effort to overthrow the government of President Laurent Gbagbo.,PROTEST
PLOVER-GSR01-PROTEST-0020,blocked road disapproval policies,"Demonstrators in Baghdad blocked a road to show their disapproval for the United States' military policies, a newspaper reported Tuesday.",PROTEST
PLOVER-GSR01-PROTEST-0021,blocked roads demands freedom,Young Algerians blocked roads leading to the city centre on Sunday to press their demands for greater freedom and opportunities from President Bouteflika's government.,PROTEST
PLOVER-GSR01-PROTEST-0022,blocked streets demand democratic reforms,Hundreds of thousands of people blocked streets in Hong Kong in defiance of Chinese authorities to demand democratic reforms.,PROTEST
PLOVER-GSR01-PROTEST-0023,rioted,"Palestinian prisoners rioted Monday at this jail in northern Israel, setting fire to their mattresses and smashing furniture, police sources said.",PROTEST
PLOVER-GSR01-PROTEST-0024,rioted calling for removal from office,Egyptian demonstrators rioted following a peaceful demonstration calling for the immediate removal of President Hosni Mubarak from office.,PROTEST
PLOVER-GSR01-PROTEST-0025,riots against policies,Palestinian riots against Israeli military policies are still continuing with no end in sight.,PROTEST
PLOVER-GSR01-PROTEST-0026,resorted throwing stones demonstrations rights violations,"Palestinian youths resorted to throwing stones during demonstrations against the alleged human rights violations by the Israeli military, officials said on Thursday.",PROTEST
PLOVER-GSR01-PROTEST-0027,rioted demanding independence,"Prisoners rioted at a jail in East Timor's capital Dili on Monday joining thousands of demonstrators in demanding a referendum on independence from Indonesian rule, locals said.",PROTEST
PLOVER-GSR01-PROTEST-0028,used tear gas disperse demonstrators,Liberian riot police used tear gas to disperse demonstrators protesting election results in Monrovia.,PROTEST
PLOVER-GSR01-MOBILIZE-0001,prepared resume shelling,The Macedonian army prepared to resume shelling Albanian rebel-held territory as attempts to resolve the crisis on the political front were deadlocked.,MOBILIZE
PLOVER-GSR01-MOBILIZE-0003,remained on alert,Israeli troops remained on alert in the occupied West Bank today to forestall more violence after a week of unprecedented Palestinian civil unrest.,MOBILIZE
PLOVER-GSR01-MOBILIZE-0004,ordered patrols police,The government of Sindh province has ordered patrols by police and paramilitary soldiers after violent protests by Muslim groups.,MOBILIZE
PLOVER-GSR01-MOBILIZE-0005,strengthened forces,"Israel has strengthened its forces in Lebanon following the discovery of Russian-made Katyusha rockets in the area last week, military sources said today.",MOBILIZE
PLOVER-GSR01-MOBILIZE-0006,mobilized army against,Britain mobilized army reservists for a possible war against Iraq on Tuesday while UN arms inspectors said they needed more time.,MOBILIZE
PLOVER-GSR01-MOBILIZE-0007,trained hackers,"North Korea has trained more than 500 computer hackers capable of launching cyber warfare against the United States, South Korea's defense ministry said Monday.",MOBILIZE
PLOVER-GSR01-SANCTION-0001,announced suspension links,"Italy announced a suspension of air links with Serbia on Wednesday, one day after a Serbian army jet shot down a helicopter carrying EC truce monitors.",SANCTION
PLOVER-GSR01-SANCTION-0002,cancelled visit,"A French minister has cancelled a planned visit to Haiti after a state of siege was declared in the one-time French colony, the Foreign Affairs Ministry said on Sunday.",SANCTION
PLOVER-GSR01-SANCTION-0003,expelled diplomats,"Switzerland said today it had expelled two Russian diplomats based in Geneva for spying, adding to a long series of espionage scares.",SANCTION
PLOVER-GSR01-SANCTION-0004,announced would prohibit aid,The United States announced Wednesday it would prohibit all aid to Albanian rebels in Macedonia and would deny entry to the United States to all individuals undermining stability there.,SANCTION
PLOVER-GSR01-SANCTION-0005,suspended aid,Red Cross officials suspended aid deliveries in Baghdad on Wednesday after two of their vehicles were hit by gunfire and a staff member went missing.,SANCTION
PLOVER-GSR01-SANCTION-0006,halted economic aid,Japan said on Tuesday it had halted economic aid to Serbia in line with Western efforts to end the fighting there.,SANCTION
PLOVER-GSR01-SANCTION-0007,suspended military aid,"The United States suspended part of a military aid program for Bosnia aimed at bringing Bosnian Croat and Moslem armed forces together as a unified identity, the New York Times reported on Friday.",SANCTION
PLOVER-GSR01-SANCTION-0008,reduced food supplies,"The United Nations on Tuesday reduced food supplies to the biggest Cambodian refugee camp in Thailand because rice was being diverted to outside users, relief officials said.",SANCTION
PLOVER-GSR01-SANCTION-0009,imposed sanctions,"President Bill Clinton has imposed sanctions on the Taliban religious faction that controls Afghanistan for its support of suspected terrorist Osama bin Laden, the White House said Tuesday.",SANCTION
PLOVER-GSR01-SANCTION-0010,closed borders,"Russia closed its southern borders with Iran and Turkey because of fighting between Azerbaijanis and Armenians, an editor at the official Armenian news agency said.",FIGHT
PLOVER-GSR01-SANCTION-0011,ended mediation,Syrian officers today ended mediation efforts between rival militias in Tripoli as shells continued crashing into the north Lebanese port and the death toll rose to more than 200.,SANCTION
PLOVER-GSR01-SANCTION-0012,peacekeepers shipped out,"Eighty UN peacekeepers were shipped out of the eastern Bosnian enclave of Gorazde Friday, leaving just 100 UN troops to follow them out later this month.",SANCTION
PLOVER-GSR01-SANCTION-0013,expelled inspectors of,"North Korea expelled inspectors of the International Atomic Energy Agency, or IAEA, from frozen nuclear facilities at Yongbyon after U.S. officials alleged that the North admitted it had a uranium-based program in late 2002.",SANCTION
PLOVER-GSR01-SANCTION-0014,forced out,"Jakarta forced the UN refugee agency, UNHCR, out of the country following the relief operation, although it had more than $12M of unspent donations.",SANCTION
PLOVER-GSR01-COERCE-0001,prevented demonstration,Turkish police prevented the demonstration staged by students at Cumhuriyet University near AKP offices in Sivas on 15 October to protest the decision of sending troops to Iraq.,COERCE
PLOVER-GSR01-COERCE-0002,forced out from homes,"The Israeli army forced out on Wednesday more than 1,000 Palestinian refugees from their homes in a West Bank refugee camp during a 48-hour search for militants, residents said.",FIGHT
PLOVER-GSR01-COERCE-0003,confiscated,"In an unprecedented move, Palestinian police in Jericho confiscated weapons and explosives from Palestinian armed groups, the Israeli army said Friday.",COERCE
PLOVER-GSR01-COERCE-0004,blew up power lines,"Afghan guerillas blew up three main electric power lines leading into Kabul last month and nearly one third of the city's power supply is still down, the Czechoslovak news agency Ceteka reported from Kabul today.",COERCE
PLOVER-GSR01-COERCE-0005,set fire offices,"Jewish settlers in the West Bank city of Hebron set fire to the offices of the Palestinian administrators of Muslim property overnight following the killing of an Israeli man, Palestinian residents said Sunday.",COERCE
PLOVER-GSR01-COERCE-0006,demolished,"Israeli army bulldozers demolished Palestinian homes and civilian buildings in southern Gaza on Sunday, Palestinian officials and US witnesses said.",COERCE
PLOVER-GSR01-COERCE-0007,outlawed,The British government on Monday outlawed the largest Protestant extremist organization in Northern Ireland because of what it called its direct involvement in killing in the strife-torn province.,COERCE
PLOVER-GSR01-COERCE-0008,ordered suspend publication,"Nicaragua's Sandinista government today ordered the opposition newspaper La Prensa to suspend publication indefinitely, a spokesman for the paper said.",COERCE
PLOVER-GSR01-COERCE-0009,banned candidates,President Yoweri Museveni has banned Ugandan opposition candidates from participating in the upcoming elections.,COERCE
PLOVER-GSR01-COERCE-0010,imposed curfew,"Turkish authorities have imposed a curfew in the town of Cizre in southeastern Turkey after a demonstration over fraud allegations in Sunday's local elections, security sources said here Tuesday.",COERCE
PLOVER-GSR01-COERCE-0011,declared state of siege,"The military government of President Prosper Avril declared a 30-day state of siege in Haiti on Saturday, suspending parts of the constitution and arresting political opponents, a spokeswoman for the U.S. embassy said.",COERCE
PLOVER-GSR01-COERCE-0012,arrested,"Israeli soldiers arrested more than 100 Palestinians on Saturday in a security sweep of the Hebron area of the occupied West Bank, military sources said.",COERCE
PLOVER-GSR01-COERCE-0013,deported,"Ghanaian authorities have deported 168 Liberians for traveling without proper documents on a Swedish-registered vessel, a port official said Monday.",COERCE
PLOVER-GSR01-COERCE-0014,hack into,"North Korea has tried to hack into the computers of South Korean army officers, officials said Tuesday.",COERCE
PLOVER-GSR01-COERCE-0015,defaced,"Muslim hackers angered by the publication of cartoons of the Prophet Mohammed have defaced nearly 3,000 Danish Web sites over the past month in the biggest politically motivated cyber attack long-time observers have ever seen.",COERCE
PLOVER-GSR01-COERCE-0004,reimposed blockades,"Israel Friday reimposed blockades in the West Bank following the shooting deaths of two Israelis a day earlier, a military spokesman announced.",COERCE
PLOVER-GSR01-COERCE-0017,holding as human shields,"The Sri Lankan army has been holding thousands of Tamil civilian refugees as human shields in the battle zones of the southern sector of the Jaffna peninsula, according to a press release by the Liberation Tigers.",COERCE
PLOVER-GSR01-ASSAULT-0001,was attacked by with machetes,"A temporary camp for Congolese refugees was attacked by Burundian militiamen armed with machetes, killing at least 156 people, the UN refugee agency reported.",ASSAULT
PLOVER-GSR01-ASSAULT-0003,beat up,"Israeli soldiers routinely beat up Palestinian detainees on the occupied West Bank with the knowledge of senior officers, a court martial was told today.",ASSAULT
PLOVER-GSR01-ASSAULT-0004,sexually abused,"U.S. border patrol agents sexually abused illegal Mexican immigrants with impunity, a human rights organization charged on Saturday.",ASSAULT
PLOVER-GSR01-ASSAULT-0005,tortured,"Security forces in Guinea have tortured scores of Sierra Leonean and Liberian refugees, whom authorities blame for a border conflict, Human Rights Watch (HWR) said Thursday.",ASSAULT
PLOVER-GSR01-ASSAULT-0006,died of torture,"A Palestinian prisoner died as a result of torture while in Israeli police custody, according to a report by a pathologist sent to Israel by Physicians for Human Rights.",ASSAULT
PLOVER-GSR01-ASSAULT-0007,wounded in bomb attack,"Irish nationalist guerrillas wounded two British soldiers in a bomb attack on Thursday, police said.",ASSAULT
PLOVER-GSR01-ASSAULT-0008,suicide bombers killed,"Two Palestinian suicide bombers killed 23 people as well as themselves late Sunday when they blew themselves up in Tel Aviv in the second-worst attack in the current Palestinian uprising, police said.",ASSAULT
PLOVER-GSR01-ASSAULT-0009,have been killed in suicide bombing,"At least three Iraqi civilians have been killed in a suicide car bombing in central Baghdad, Iraqi police said.",ASSAULT
PLOVER-GSR01-ASSAULT-0010,has been killed in car bomb,A prominent anti-Syria journalist has been killed in a car bomb explosion in a residential sector of mostly Christian eastern Beirut.,ASSAULT
PLOVER-GSR01-ASSAULT-0011,roadside bombing killed,"A roadside bombing near the town of Samarra on Sunday killed one U.S. soldier and wounded two others, the military said.",ASSAULT
PLOVER-GSR01-ASSAULT-0012,killed improvised explosive device,Three US servicemen were killed by an improvised explosive device outside of the Iraqi city of Basra.,ASSAULT
PLOVER-GSR01-ASSAULT-0013,killed deputy chief,Hezbollah guerrillas killed the deputy chief of Israel's militia ally in southern Lebanon Sunday sources on both sides said.,ASSAULT
PLOVER-GSR01-ASSAULT-0014,attempt to assassinate thwarted in,"An attempt to assassinate deputy governor of the Tyumen region, Oleg Chemezov, was thwarted in Khanty-Mansiysk (Siberia), the city's police reported.",ASSAULT
PLOVER-GSR01-ASSAULT-0015,said attempted to assassinate,"Militants loyal to Iraq's Al-Qaeda frontman Abu Musab al-Zarqawi said they attempted to assassinate outgoing Prime Minister Iyad Allawi, in a statement posted on the internet.",ASSAULT
PLOVER-GSR01-FIGHT-0001,engaged in ethnic cleansing against,"Serb forces were engaged in ethnic cleansing in Montenegro against the Albanian population of the province, according to the US government.",FIGHT
PLOVER-GSR01-FIGHT-0002,retaken village,"Vietnamese-led forces have retaken a strategic village in Western Cambodia after fierce fighting with guerrillas who overran it late last month, Thai military sources said today.",FIGHT
PLOVER-GSR01-FIGHT-0003,captured stronghold,"Burmese troops have captured part of a Karen guerrilla stronghold on the Thai border after five days of fighting, Thai police here said on Monday.",FIGHT
PLOVER-GSR01-FIGHT-0004,mounted invasion,"Israel today mounted its long-threatened invasion of South Lebanon, ploughing through the United Nations lines on the coast of south of Tyre and thrusting forward in at least to inland areas.",FIGHT
PLOVER-GSR01-FIGHT-0005,shelled,"Sudanese rebels shelled the southern regional capital Juba for the first time in a year on Sunday and Monday, killing about 20 people, relief officials in Nairobi said.",FIGHT
PLOVER-GSR01-FIGHT-0007,killed in gunbattle,"Serb forces killed three ethnic Albanians in a gunbattle in southeastern Serbia Friday, a political council representing ethnic Albanians in the region said in remarks published here Sunday.",FIGHT
PLOVER-GSR01-FIGHT-0008,minefield explosion killed wounded,A minefield explosion near the town of Samarra killed two Iraqi youths and wounded five others on Sunday.,FIGHT
PLOVER-GSR01-FIGHT-0009,launched artillery mortar rocket,"Vietnamese-led forces launched artillery, mortar, and rocket fire against Kampuchean guerrilla camps near the eastern Thai border today, killing or wounding 50, Thai military sources said.",FIGHT
PLOVER-GSR01-FIGHT-0010,tanks fired,"Israeli tanks fired four shell bombs at targets in Jericho, witnesses said, in a rare incident in the West Bank city.",FIGHT
PLOVER-GSR01-FIGHT-0011,aircraft killed,Russian aircraft including helicopter gunships killed 46 Afghan civilians in an attack on a village in the western province of Herat.,FIGHT
